[699.751, 1653]
[700.153, 1654]
[700.555, 1649]
[700.957, 1654]
[701.359, 1656]
[701.761, 1645]
[702.163, 1655]
[702.565, 1658]
[702.967, 1654]
[703.369, 1662]
[703.771, 1658]
[704.173, 1659]
[704.575, 1661]
[704.977, 1648]
[705.379, 1650]
[705.781, 1656]
[706.184, 1659]
[706.586, 1651]
[706.988, 1653]
[707.39, 1657]
[707.792, 1653]
[708.194, 1651]
[708.597, 1648]
[708.999, 1654]
[709.401, 1664]
[709.803, 1661]
[710.206, 1655]
[710.608, 1658]
[711.01, 1655]
[711.413, 1659]
[711.815, 1654]
[712.217, 1649]
[712.62, 1648]
[713.022, 1654]
[713.424, 1648]
[713.827, 1660]
[714.229, 1660]
