[696.938, 4150]
[697.34, 4160]
[697.742, 4203]
[698.144, 4153]
[698.545, 4110]
[698.947, 4175]
[699.349, 4142]
[699.751, 4185]
[700.153, 4203]
[700.555, 4156]
[700.957, 4155]
[701.359, 4195]
[701.761, 4159]
[702.163, 4196]
[702.565, 4202]
[702.967, 4189]
[703.369, 4223]
[703.771, 4209]
[704.173, 4208]
[704.575, 4180]
[704.977, 4204]
[705.379, 4202]
[705.781, 4209]
[706.184, 4214]
[706.586, 4195]
[706.988, 4245]
[707.39, 4235]
[707.792, 4218]
[708.194, 4241]
[708.597, 4262]
[708.999, 4233]
[709.401, 4257]
[709.803, 4227]
[710.206, 4251]
[710.608, 4223]
[711.01, 4234]
[711.413, 4265]
[711.815, 4254]
[712.217, 4275]
[712.62, 4296]
[713.022, 4291]
[713.424, 4267]
[713.827, 4274]
[714.229, 4271]
