[615.644, 3362]
[616.043, 3362]
[616.443, 3337]
[616.842, 3333]
[617.241, 3324]
[617.64, 3331]
[618.039, 3371]
[618.438, 3366]
[618.838, 3379]
[619.237, 3381]
[619.636, 3369]
[620.035, 3380]
[620.435, 3418]
[620.834, 3367]
[621.233, 3392]
[621.632, 3401]
[622.032, 3378]
[622.431, 3397]
[622.83, 3397]
[623.23, 3405]
[623.629, 3404]
[624.028, 3430]
[624.428, 3417]
[624.827, 3422]
[625.227, 3393]
[625.626, 3410]
[626.026, 3419]
[626.425, 3440]
[626.824, 3419]
[627.224, 3469]
[627.623, 3434]
[628.023, 3451]
[628.422, 3441]
[628.822, 3473]
[629.221, 3471]
[629.621, 3461]
[630.021, 3458]
[630.42, 3479]
[630.82, 3455]
[631.22, 3467]
[631.619, 3473]
[632.019, 3497]
[632.419, 3462]
[632.818, 3486]
[633.218, 3553]
[633.618, 3523]
[634.017, 3545]
[634.417, 3530]
[634.817, 3498]
[635.216, 3559]
[635.616, 3530]
[636.016, 3589]
[636.416, 3581]
[636.816, 3590]
[637.215, 3536]
[637.615, 3518]
[638.015, 3594]
[638.415, 3581]
[638.815, 3612]
[639.215, 3573]
[639.615, 3549]
[640.015, 3618]
[640.414, 3625]
[640.814, 3608]
[641.214, 3583]
[641.614, 3617]
[642.014, 3623]
[642.414, 3595]
[642.814, 3614]
[643.214, 3589]
[643.614, 3654]
[644.014, 3600]
[644.414, 3636]
[644.815, 3598]
[645.215, 3610]
[645.615, 3614]
[646.015, 3613]
[646.415, 3611]
[646.815, 3647]
[647.215, 3643]
[647.615, 3629]
[648.016, 3623]
[648.416, 3636]
[648.816, 3616]
[649.216, 3615]
[649.616, 3644]
[650.017, 3676]
[650.417, 3685]
[650.817, 3671]
[651.217, 3721]
[651.618, 3677]
[652.018, 3680]
[652.418, 3705]
[652.819, 3693]
[653.219, 3697]
[653.619, 3684]
[654.02, 3718]
[654.42, 3663]
[654.821, 3691]
[655.221, 3691]
[655.621, 3702]
[656.022, 3718]
[656.422, 3693]
[656.823, 3709]
[657.223, 3752]
[657.624, 3702]
[658.024, 3731]
[658.425, 3749]
[658.825, 3816]
[659.226, 3824]
[659.627, 3818]
[660.027, 3797]
[660.428, 3819]
[660.828, 3822]
[661.229, 3786]
[661.63, 3815]
[662.03, 3837]
[662.431, 3842]
[662.832, 3847]
[663.232, 3859]
[663.633, 3860]
[664.034, 3839]
[664.434, 3840]
[664.835, 3901]
[665.236, 3892]
[665.637, 3861]
[666.037, 3846]
[666.438, 3864]
[666.839, 3874]
[667.24, 3865]
[667.641, 3868]
[668.042, 3905]
[668.442, 3907]
[668.843, 3908]
[669.244, 3918]
[669.645, 3909]
[670.046, 3910]
[670.447, 3901]
[670.848, 3889]
[671.249, 3896]
[671.65, 3950]
[672.051, 3970]
[672.452, 3910]
[672.853, 3952]
[673.254, 4001]
[673.655, 3942]
[674.056, 3952]
[674.457, 3966]
[674.858, 3935]
[675.259, 3953]
[675.66, 3953]
[676.061, 3968]
[676.463, 3981]
[676.864, 3962]
[677.265, 3984]
[677.666, 3977]
[678.067, 3966]
[678.468, 3986]
[678.87, 4021]
[679.271, 4037]
[679.672, 3980]
[680.073, 3991]
[680.475, 4001]
[680.876, 4021]
[681.277, 3962]
[681.678, 4045]
[682.08, 4015]
[682.481, 4035]
[682.882, 4017]
[683.284, 4046]
[683.685, 4085]
[684.087, 4045]
[684.488, 4077]
[684.889, 4066]
[685.291, 4017]
[685.692, 4024]
[686.094, 4051]
[686.495, 4052]
[686.897, 4074]
[687.298, 4055]
[687.7, 4065]
[688.101, 4091]
[688.503, 4089]
[688.904, 4075]
[689.306, 4091]
[689.707, 4053]
[690.109, 4086]
[690.511, 4086]
[690.912, 4088]
[691.314, 4099]
[691.716, 4112]
[692.117, 4104]
[692.519, 4122]
[692.92, 4129]
[693.322, 4076]
[693.724, 4145]
[694.126, 4138]
[694.527, 4139]
